sentences,aspects,labels
"Ben Horowitz, A16z cofounder, said in July that he plans to support former President Donald Trump's campaign.",Donald Trump,2
An email to A16z employees now reveals that he plans to donate to Vice President Kamala Harris.,Donald Trump,0
"The investor wrote that he and his wife will be making a ""significant donation"" to support Harris.",Donald Trump,0
"Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily.",Donald Trump,1
Read preview Thanks for signing up!,Donald Trump,1
Go to newsletter preferences Thanks for signing up!,Donald Trump,1
Access your favorite topics in a personalized feed while you're on the go.,Donald Trump,1
"download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy .",Donald Trump,1
"You can opt-out at any time by visiting our Preferences page or by clicking ""unsubscribe"" at the bottom of the email.",Donald Trump,1
"Advertisement

Ben Horowitz, the erudite cofounder of venture capital firm A16z, sent an email to staff that he is planning to donate to support the Harris-Walz campaign, Business Insider has confirmed.",Donald Trump,0
"The email, which was first reported on by Axios, came as a surprise given Horowitz had already donated to support former President Donald Trump less than three months ago.",Donald Trump,2
"In the Friday email, Horowitz wrote that he and his wife, Felicia, have known Vice President Kamala Harris for over 10 years and that ""she has been a great friend to both of us during that time.""",Donald Trump,0
"""As a result of our friendship, Felicia and I will be making a significant donation to entities who support the Harris Walz campaign,"" the email said.",Donald Trump,0
"Advertisement

Horowitz stopped short of saying he would endorse or vote for the Democratic presidential nominee.",Donald Trump,0
"The couple wants to establish a working relationship with both candidates in the final days of one of the closest presidential races of the century, according to a person familiar with Ben and Felicia Horowitz's thinking.",Donald Trump,1
"Related stories

On July 16, just days before President Joe Biden dropped out of the race, Horowitz and his close business partner Marc Andreessen said in their podcast that Trump would better support emerging technology companies and startups.",Donald Trump,2
"""The future of our business, the future of technology, new technology, and the future of America is literally at stake,"" Horowitz said on the podcast.",Donald Trump,2
"""So here we are.",Donald Trump,1
"For little tech, we think Donald Trump is actually the right choice.""",Donald Trump,2
"Advertisement

Although Horowitz wrote in the email to A16z employees that he'll be donating to entities supporting the Harris-Walz campaign, the venture capitalist noted that he has yet to hear what the campaign's tech policies will be.",Donald Trump,0
"""Although I have had several conversations with Vice President Harris and her team on their likely tech policies and am encouraged by my belief in her, they have not yet stated what their tech policy will be, so the firm will not be updating its position in that regard,"" he wrote in the email.",Donald Trump,1
Read the email below:,Donald Trump,1
"Ben Horowitz, A16z cofounder, said in July that he plans to support former President Donald Trump's campaign.",Kamala Harris,0
An email to A16z employees now reveals that he plans to donate to Vice President Kamala Harris.,Kamala Harris,2
"The investor wrote that he and his wife will be making a ""significant donation"" to support Harris.",Kamala Harris,2
"Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily.",Kamala Harris,1
Read preview Thanks for signing up!,Kamala Harris,1
Go to newsletter preferences Thanks for signing up!,Kamala Harris,1
Access your favorite topics in a personalized feed while you're on the go.,Kamala Harris,1
"download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy .",Kamala Harris,1
"You can opt-out at any time by visiting our Preferences page or by clicking ""unsubscribe"" at the bottom of the email.",Kamala Harris,1
"Advertisement

Ben Horowitz, the erudite cofounder of venture capital firm A16z, sent an email to staff that he is planning to donate to support the Harris-Walz campaign, Business Insider has confirmed.",Kamala Harris,2
"The email, which was first reported on by Axios, came as a surprise given Horowitz had already donated to support former President Donald Trump less than three months ago.",Kamala Harris,0
"In the Friday email, Horowitz wrote that he and his wife, Felicia, have known Vice President Kamala Harris for over 10 years and that ""she has been a great friend to both of us during that time.""",Kamala Harris,2
"""As a result of our friendship, Felicia and I will be making a significant donation to entities who support the Harris Walz campaign,"" the email said.",Kamala Harris,2
"Advertisement

Horowitz stopped short of saying he would endorse or vote for the Democratic presidential nominee.",Kamala Harris,1
"The couple wants to establish a working relationship with both candidates in the final days of one of the closest presidential races of the century, according to a person familiar with Ben and Felicia Horowitz's thinking.",Kamala Harris,1
"Related stories

On July 16, just days before President Joe Biden dropped out of the race, Horowitz and his close business partner Marc Andreessen said in their podcast that Trump would better support emerging technology companies and startups.",Kamala Harris,0
"""The future of our business, the future of technology, new technology, and the future of America is literally at stake,"" Horowitz said on the podcast.",Kamala Harris,2
"""So here we are.",Kamala Harris,1
"For little tech, we think Donald Trump is actually the right choice.""",Kamala Harris,0
"Advertisement

Although Horowitz wrote in the email to A16z employees that he'll be donating to entities supporting the Harris-Walz campaign, the venture capitalist noted that he has yet to hear what the campaign's tech policies will be.",Kamala Harris,1
"""Although I have had several conversations with Vice President Harris and her team on their likely tech policies and am encouraged by my belief in her, they have not yet stated what their tech policy will be, so the firm will not be updating its position in that regard,"" he wrote in the email.",Kamala Harris,1
Read the email below:,Kamala Harris,1
"Former President Donald Trump's actions on January 6, 2021, are back in the news.",Donald Trump,0
"Vice President Kamala Harris is also elevating one of Trump's biggest critics, former Rep. Liz Cheney.",Donald Trump,0
"It means that in the closing weeks of the 2024 election, the focus is once again on what happened four years ago.",Donald Trump,0
"Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily.",Donald Trump,1
Read preview Thanks for signing up!,Donald Trump,1
Go to newsletter preferences Thanks for signing up!,Donald Trump,1
Access your favorite topics in a personalized feed while you're on the go.,Donald Trump,1
"download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy .",Donald Trump,1
"You can opt-out at any time by visiting our Preferences page or by clicking ""unsubscribe"" at the bottom of the email.",Donald Trump,1
"Advertisement

With roughly 30 days left before Election Day, Vice President Kamala Harris and her allies are amplifying their focus on the January 6, 2021, Capitol riot and former President Donald Trump's efforts to overturn the 2020 election.",Donald Trump,0
"Trump, for his part, has really never stopped talking about the 2020 election.",Donald Trump,0
He brings it up at almost every rally.,Donald Trump,1
But Harris' final rebuttal is shaping up in the form of a closing argument delivered by former Congresswoman Liz Cheney and top Trump aides.,Donald Trump,0
"""Our republic faces a threat unlike any we have faced before — a former president who attempted to stay in power by unraveling the foundations of our republic, by refusing to accept the lawful results confirmed by dozens of courts of the 2020 election,"" Cheney said Thursday night in Ripon, Wisconsin, the birthplace of the Republican Party.",Donald Trump,0
"The Harris campaign's efforts to remind voters of Trump's final days in office will get a boost next week when an outside group will host Cassidy Hutchinson, the former Trump aide whose searing testimony was at the forefront of the House January 6 committee, Cheney, and two other former Trump aides at an event in Pennsylvania.",Donald Trump,0
"While that is not an official Harris rally, her campaign has already made waves in the key battleground by airing an ad featuring a local couple who previously supported Trump.",Donald Trump,0
"Advertisement

""I voted for him twice, I won't vote for him again,"" Bob Lange says in the ad entitled ""Not Again.""",Donald Trump,0
"""January 6 was a wake-up call for me.""",Donald Trump,0
"I have sworn an oath to uphold the Constitution six times in my career, and have always upheld it without reservation.",Donald Trump,1
Therein lies the profound difference between Donald Trump and me.,Donald Trump,0
"He violated that oath, and, make no mistake: if given the chance, he would violate it again.",Donald Trump,0
"pic.twitter.com/mcgmR3q0SU — Kamala Harris (@KamalaHarris) October 4, 2024

Former Trump 2020 staffer Matt Wolking said the Harris' campaign focus on January 6 illustrates a return to the core of what made Biden's campaign struggle.",Donald Trump,0
"Related stories

""What happens when you run a vibes campaign like Kamala has, devoid of most other substance and then you run out of vibes?""",Donald Trump,0
Wolking told Business Insider.,Donald Trump,1
"""Well, you return to old crutches, and this is an old crutch that is leftover from the Biden campaign.",Donald Trump,0
"The January 6 campaign strategy is the Biden campaign strategy from earlier this year.""",Donald Trump,0
"Voters have given Harris better marks than Biden, but the topic still does not have the sheer weight that the economy does.",Donald Trump,1
"Advertisement

The economy is still the most important issue in the race.",Donald Trump,1
"Voters have long said the economy is the most important issue in the race, lending some slight risk to focusing on the 2020 election.",Donald Trump,1
Polls have shown that Harris has closed Trump's commanding lead on the economy.,Donald Trump,0
But the broader theme of democracy hasn't been forgotten.,Donald Trump,1
A recent PBS News/NPR/Marist poll found that 95% of voters say the economy is a factor in their vote.,Donald Trump,1
"The same survey found that 89% of voters would say the same about ""preserving democracy,"" including 64% who say it would be a ""deciding factor"" in their decision.",Donald Trump,1
"(The poll of US adults was conducted from September 27 through October 1, 2024.",Donald Trump,1
"Marist interviewed 1,628 adults via phone, text, and online.",Donald Trump,1
The margin of error for registered voters is +/- 3.5 percentage points.),Donald Trump,1
Trump's campaign blamed the media for the renewed focus on January 6.,Donald Trump,0
"""The media is desperate to talk about anything other than the issues Americans are facing today — from the ongoing conflict in the Middle East, to the crisis at our border, migrant crime, inflation, and the ongoing port worker strike — because the problems of today prove Kamala Harris is the worst vice president in history,"" Trump campaign spokesperson Karoline Leavitt said in a statement issued on Thursday.",Donald Trump,0
"On Thursday night, port workers and the United States Maritime Alliance announced the suspension of the strike until January 15 as contract negotiations continue.",Donald Trump,1
"Advertisement

Both campaigns have tried to lean into democracy-related appeals.",Donald Trump,1
"Trump has claimed that it's the Democrats who are the true threat, arguing without evidence that they are responsible for his assassination attempts.",Donald Trump,0
"He also repeatedly claimed that the White House is orchestrating the criminal cases against him, another claim that doesn't hold up.",Donald Trump,0
There's ample evidence that Trump should be concerned if voters cast their ballots with 2020 in mind.,Donald Trump,0
Voters thoroughly rejected his allies who echoed his concerns about 2020 during the midterm elections two years later.,Donald Trump,0
"Most notably, those setbacks occurred in Michigan, Wisconsin, Pennsylvania, and Arizona, all four states that remain battlegrounds in the presidential race.",Donald Trump,0
"According to a recent Washington Post poll, most of the voters in Pennsylvania, widely believed to be race's biggest prize, believe Biden won the 2020 race fair and square.",Donald Trump,0
"The numbers are different for Republicans, but the rejection of election denialism is clear among Democrats and, most critically, independents.",Donald Trump,1
"Harris' efforts aren't the only reason 2020 is back in the news

Special counsel Jack Smith's 165-page filing was released earlier in the week, providing new details about Trump's actions as rioters stormed the Capitol.",Donald Trump,0
"Smith's team says it is prepared to call a top Trump aide to testify that only the then-president himself could have sent out his infamous tweet attacking Vice President Mike Pence for lacking ""courage"" by refusing to help overturn the results.",Donald Trump,0
"Advertisement

""The defendant personally posted the tweet on the afternoon of January 6 at a point when he already understood that the Capitol had been breached,"" Smith's team wrote in the filing.",Donald Trump,0
Sen. JD Vance of Ohio refused to answer directly to Gov.,Donald Trump,1
Tim Walz during Tuesday's vice-presidential debate when he pressed Trump's running mate about who won the 2020 election.,Donald Trump,0
"""Tim, I am focused on the future,"" Vance replied.",Donald Trump,1
"""Did Kamala Harris censor Americans from speaking their mind in the wake of the 2020 COVID situation?""",Donald Trump,0
"Harris' campaign soon cut what Walz described as Vance's ""damning non-answer"" into an attack ad.",Donald Trump,0
"Advertisement

Asked again about his views on the 2020 election, Vance remained defiant after a Friday rally.",Donald Trump,0
"The GOP vice presidential nominee accused journalists of being so interested in the last election because ""they don't care a lick about what happened afterwards.""",Donald Trump,0
"""I'm from Ohio, I am not from the South, but I think there's a phrase that really works — bless your heart,"" he said.",Donald Trump,1
"""We are focused on the future in this election and in this campaign.""",Donald Trump,2
"Former President Donald Trump's actions on January 6, 2021, are back in the news.",Kamala Harris,0
"Vice President Kamala Harris is also elevating one of Trump's biggest critics, former Rep. Liz Cheney.",Kamala Harris,2
"It means that in the closing weeks of the 2024 election, the focus is once again on what happened four years ago.",Kamala Harris,1
"Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily.",Kamala Harris,1
Read preview Thanks for signing up!,Kamala Harris,1
Go to newsletter preferences Thanks for signing up!,Kamala Harris,1
Access your favorite topics in a personalized feed while you're on the go.,Kamala Harris,1
"download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy .",Kamala Harris,1
